sign: R, num: 46, Start: 50, End: 96, Ticks: 0
sign: L, num: 12, Start: 96, End: 84, Ticks: 0
sign: R, num: 1, Start: 84, End: 85, Ticks: 0
sign: R, num: 12, Start: 85, End: 97, Ticks: 0
sign: R, num: 41, Start: 97, End: 38, Ticks: 1
sign: R, num: 10, Start: 38, End: 48, Ticks: 1
sign: L, num: 45, Start: 48, End: 3, Ticks: 1
sign: R, num: 32, Start: 3, End: 35, Ticks: 1
sign: R, num: 6, Start: 35, End: 41, Ticks: 1
sign: R, num: 31, Start: 41, End: 72, Ticks: 1
sign: R, num: 46, Start: 72, End: 18, Ticks: 2
sign: L, num: 18, Start: 18, End: 0, Ticks: 3
sign: L, num: 33, Start: 0, End: 67, Ticks: 3
sign: R, num: 19, Start: 67, End: 86, Ticks: 3
sign: R, num: 38, Start: 86, End: 24, Ticks: 4
sign: L, num: 32, Start: 24, End: 92, Ticks: 5
sign: R, num: 39, Start: 92, End: 31, Ticks: 6
sign: L, num: 14, Start: 31, End: 17, Ticks: 6
sign: L, num: 33, Start: 17, End: 84, Ticks: 7
sign: L, num: 35, Start: 84, End: 49, Ticks: 7
sign: R, num: 14, Start: 49, End: 63, Ticks: 7
sign: R, num: 20, Start: 63, End: 83, Ticks: 7
sign: L, num: 49, Start: 83, End: 34, Ticks: 7
sign: R, num: 37, Start: 34, End: 71, Ticks: 7
sign: L, num: 25, Start: 71, End: 46, Ticks: 7
sign: R, num: 26, Start: 46, End: 72, Ticks: 7
sign: L, num: 37, Start: 72, End: 35, Ticks: 7
sign: L, num: 30, Start: 35, End: 5, Ticks: 7
sign: R, num: 25, Start: 5, End: 30, Ticks: 7
sign: L, num: 2, Start: 30, End: 28, Ticks: 7
sign: R, num: 43, Start: 28, End: 71, Ticks: 7
sign: R, num: 16, Start: 71, End: 87, Ticks: 7
sign: L, num: 26, Start: 87, End: 61, Ticks: 7
sign: R, num: 30, Start: 61, End: 91, Ticks: 7
sign: R, num: 9, Start: 91, End: 0, Ticks: 8
sign: L, num: 36, Start: 0, End: 64, Ticks: 8
sign: R, num: 38, Start: 64, End: 2, Ticks: 9
sign: L, num: 37, Start: 2, End: 65, Ticks: 10
sign: R, num: 41, Start: 65, End: 6, Ticks: 11
sign: R, num: 5, Start: 6, End: 11, Ticks: 11
sign: L, num: 39, Start: 11, End: 72, Ticks: 12
sign: R, num: 41, Start: 72, End: 13, Ticks: 13
sign: R, num: 9, Start: 13, End: 22, Ticks: 13
sign: L, num: 43, Start: 22, End: 79, Ticks: 14
sign: L, num: 27, Start: 79, End: 52, Ticks: 14
sign: R, num: 22, Start: 52, End: 74, Ticks: 14
sign: R, num: 28, Start: 74, End: 2, Ticks: 15
sign: R, num: 49, Start: 2, End: 51, Ticks: 15
sign: L, num: 33, Start: 51, End: 18, Ticks: 15
sign: R, num: 83, Start: 18, End: 1, Ticks: 16
sign: L, num: 1, Start: 1, End: 0, Ticks: 17
sign: R, num: 50, Start: 0, End: 50, Ticks: 17
sign: R, num: 50, Start: 50, End: 0, Ticks: 18
sign: L, num: 19, Start: 0, End: 81, Ticks: 18
sign: R, num: 74, Start: 81, End: 55, Ticks: 19
sign: R, num: 28, Start: 55, End: 83, Ticks: 19
sign: L, num: 60, Start: 83, End: 23, Ticks: 19
sign: L, num: 34, Start: 23, End: 89, Ticks: 20
sign: R, num: 84, Start: 89, End: 73, Ticks: 21
sign: R, num: 65, Start: 73, End: 38, Ticks: 22
sign: L, num: 96, Start: 38, End: 42, Ticks: 23
sign: L, num: 95, Start: 42, End: 47, Ticks: 24
